id	title	location	salary	summary
1309266643ad2850	Front-End 개발자()	NHN SOFT 4.4 성남 판교역		지원 바랍니다. [Front-End 웹 개발자 (정규직/경력)] Job Description 자격요건 우대사항 - 웹 서비스 자바스크립트 개발... 설계 및 개발 경험자 - 자바스크립트 프레임워크 개발 경험자 - 고난도...
c58df1061d490778	[카카오 클라우드] 컨테이너 클라우드 개발자 모집	카카오 4.0 성남 판교역		사하기 (3분 27초~) 카카오 개발자의 찐세계 (4분 45초~) 업무내용 KaaS(Kubernetes As A Service), DKOS 개발... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
127b93c04abe36de	반도체장비 SW개발 경력인재 - 대그룹 우량계열사	에스에프인촌 성남 분당구		반도체 후공정장비 SW 개발 1) MMI SW 개발 * 담당 직무 - 반도체장비 MMI SW 개발 - PCB작성 및 편집 기능 개발 * 자격 요건 - 4... 장비 RT SW 개발 - 정밀헤드/고속헤드/흡착착 시퀀스 개발 * 자격 요건...
ac84c38e5a9d9cf1	프론트앤드 개발자	공공의주방 성남 분당구		웹앱 개발 및 운영 경험 - 개발자 출신 스타트업 사업 개발 경험자 - 주도적으로 Base project부터 혼자 구성하실 수 있는 분 - 신입 개발자... 기반 웹앱 개발 및 운영 경험 - 개발자 출신 스타트업 사업 개발 경험자...
60f6e355597fe3aa	데브옵스개발팀 - 프론트엔드/백엔드 개발자	Nexon 성남 분당구		Monitoring 등의 DevOps를 위한 프론트엔드 개발 지원자격 - 프론트엔드/백엔드 개발경력 3년 이상 - 백엔드와 프론트엔드 업무를 같이... Go, NodeJS 등) 개발 가능하신 분 우대사항 - Cloud 환경...
1e0e7b1478ddbb4f	해외 메이플스토리 게임기획 개발자	Nexon 성남 분당구		주요업무 메이플스토리 해외서비스 컨텐츠 기획/ 개발 및 로컬라이징 - 이벤트, 시스템, 아이템 등 다양한 컨텐츠 기획/ 개발 - 해외서비스의 상황에 맞는 컨텐츠 로컬라이징 - 라이브 서비스에 대한 관리 및 이슈 대응 지원...
9acc17c535b42959	2021년 (신입) 전문연구요원 모집	NHN 4.4 성남 판교역		또는 AI 개발자를 위한 데이터 전처리/가공/분석 도구를 플랫폼으로 개발하여 제공하는 것에 관심이 많은 개발자 - 데이터베이스 기술을 빅데이터 처리 플랫폼에 접목시켜보는 것에 관심이 많은 개발자 - 하둡...
a5f72db70e317024	콘텐츠 구독 서비스 개발자 모집	카카오 4.0 성남 판교역		구독 기반 서비스 개발 경험 golang 기반 웹서비스 개발 경험 데이터 처리 프레임웍(Hadoop, Spark, kafka, ELK 등) 기반 개발... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
151a70196b48fb78	반도체/디스플레이/물류 부문 응용 S/W 개발자 (Windows C#)	아이티팜 성남 분당구		담당업무] 반도체/디스플레이/물류 부문 응용 S/W 개발자 (Windows C#) [근무부서 및 직급/직책] 근무부서: 개발팀 [자격요건] 경력사항... 정규직(수습기간3개월) 근무부서: 개발팀 인근전철역: 분당선 수내 (3번...
e64e2cdf0642f7ea	클라우드 운영 (런처 개발자)	위메이드엔터테인먼트 성남 분당구		인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머>.NET|인터넷·IT·통신·모바일·게임>웹프로그래머>.NET
8bbed409eb0dc7c0	스캐너 및 기술응용(머신비전) 개발자	에이치비티 성남 중원구	연봉 30,000,000원 - 70,000,000원	시간 : 40시간 [급여조건] - 연봉 30000000원 이상 - 상여금 : 0% (미 포함) - 면접 후 결정 가능 [장애인채용희망여부] 비희망 [병역특례] - 비희망 전자·기계·기술·화학·연구 개발>기계·금속·재료>기계설계
16af988cd8210617	인사시스템 개발자 모집	카카오 4.0 성남 판교역		심이 있는 분 개발 경력 만 5년 미만 우대사항 인사 관련 시스템 개발 및 운영 경험 필독사항 ※ 카카오 기술 직군의 경우, 개발 경력 2... 있습니다. (단, 신입 개발자 블라인드 채용 전형 합격자의 경우는 개발 경력...
6996fb0fc3f7347f	[중견 화장품 제조 기업] ERP 개발자 경력직 (대리)	에이스파트너스서치펌 성남 분당구		- 학력 : 대졸 (4년) 이상 - 영림원 ERP 개발 경력 필수 - SQL, Server (MSSQL) 숙련자 필수 - MySQL, Oracle, NoSQL 설계 및 개발 운영 경험자 우대 - DB 외 프로그램 언어 (JAVA...
